DATE,POPTHM
2014-01-01,318464.0
2014-02-01,318642.0
2014-03-01,318827.0
2014-04-01,319020.0
2014-05-01,319225.0
2014-06-01,319438.0
2014-07-01,319670.0
2014-08-01,319919.0
2014-09-01,320166.0
2014-10-01,320403.0
2014-11-01,320616.0
2014-12-01,320815.0
2015-01-01,320997.0
2015-02-01,321164.0
2015-03-01,321344.0
2015-04-01,321538.0
2015-05-01,321740.0
2015-06-01,321954.0
2015-07-01,322186.0
2015-08-01,322427.0
2015-09-01,322670.0
2015-10-01,322901.0
2015-11-01,323113.0
2015-12-01,323318.0
2016-01-01,323509.0
2016-02-01,323687.0
2016-03-01,323871.0
2016-04-01,324061.0
2016-05-01,324260.0
2016-06-01,324476.0
2016-07-01,324697.0
2016-08-01,324924.0
2016-09-01,325155.0
2016-10-01,325368.0
2016-11-01,325562.0
2016-12-01,325742.0
2017-01-01,325901.0
2017-02-01,326050.0
2017-03-01,326207.0
2017-04-01,326371.0
2017-05-01,326548.0
2017-06-01,326743.0
2017-07-01,326939.0
2017-08-01,327140.0
2017-09-01,327342.0
2017-10-01,327528.0
2017-11-01,327699.0
2017-12-01,327848.0
2018-01-01,327969.0
2018-02-01,328085.0
2018-03-01,328219.0
2018-04-01,328364.0
2018-05-01,328521.0
2018-06-01,328692.0
2018-07-01,328863.0
2018-08-01,329040.0
2018-09-01,329216.0
2018-10-01,329379.0
2018-11-01,329527.0
2018-12-01,329659.0
2019-01-01,329766.0
2019-02-01,329862.0
2019-03-01,329977.0
2019-04-01,330103.0
2019-05-01,330240.0
2019-06-01,330393.0
2019-07-01,330553.0
2019-08-01,330729.0
2019-09-01,330904.0
2019-10-01,331066.0
2019-11-01,331213.0
2019-12-01,331345.0
2020-01-01,331443.0
2020-02-01,331525.0
2020-03-01,331642.0
2020-04-01,331699.0
2020-05-01,331701.0
2020-06-01,331744.0
2020-07-01,331811.0
2020-08-01,331885.0
2020-09-01,331966.0
2020-10-01,332041.0
2020-11-01,332079.0
2020-12-01,332062.0
2021-01-01,332007.0
2021-02-01,331983.0
2021-03-01,332023.0
2021-04-01,332089.0
2021-05-01,332161.0
2021-06-01,332249.0
2021-07-01,332375.0
2021-08-01,332506.0
2021-09-01,332610.0
2021-10-01,332708.0
2021-11-01,332806.0
2021-12-01,332891.0
2022-01-01,332933.0
2022-02-01,332972.0
2022-03-01,333067.0
2022-04-01,333191.0
2022-05-01,333317.0
2022-06-01,333451.0
2022-07-01,333599.0
2022-08-01,333762.0
2022-09-01,333925.0
2022-10-01,334071.0
2022-11-01,334206.0
2022-12-01,334326.0
2023-01-01,334433.0
2023-02-01,334544.0
2023-03-01,334664.0
2023-04-01,334792.0
2023-05-01,334929.0
2023-06-01,335080.0
2023-07-01,335248.0
2023-08-01,335431.0
2023-09-01,335612.0
2023-10-01,335773.0
2023-11-01,335925.0
2023-12-01,336070.0
2024-01-01,336194.0
